date,number,word,url
2022-11-07,506,begin,https://www.nytimes.com/svc/wordle/v2/2022-11-07.json
2022-11-08,507,spell,https://www.nytimes.com/svc/wordle/v2/2022-11-08.json
2022-11-09,508,rainy,https://www.nytimes.com/svc/wordle/v2/2022-11-09.json
